Major Group|Industry Group|Description
56|566|Shoe Stores
56|569|Miscellaneous Apparel And Accessory Stores
57|571|Home Furniture And Furnishings Stores
57|572|Household Appliance Stores
57|573|Radio, Television, Consumer Electronics, And Music Stores
58|581|Eating And Drinking Places
59|591|Drug Stores And Proprietary Stores
59|592|Liquor Stores
59|593|Used Merchandise Stores
59|594|Miscellaneous Shopping Goods Stores
59|596|Nonstore Retailers
59|598|Fuel Dealers
59|599|Retail Stores, Not Elsewhere Classified
60|601|Central Reserve Depository Institutions
60|602|Commercial Banks
60|603|Savings Institutions
60|606|Credit Unions
60|608|Foreign Banking And Branches And Agencies Of
60|609|Functions Related To Depository Banking
61|611|Federal And Federally-sponsored Credit Agencies
61|614|Personal Credit Institutions
61|615|Business Credit Institutions
61|616|Mortgage Bankers And Brokers
62|621|Security Brokers, Dealers, And Flotation
62|622|Commodity Contracts Brokers And Dealers
62|623|Security And Commodity Exchanges
62|628|Services Allied With The Exchange Of Securities
63|631|Life Insurance
63|632|Accident And Health Insurance And Medical
63|633|Fire, Marine, And Casualty Insurance
63|635|Surety Insurance
63|636|Title Insurance
63|637|Pension, Health, And Welfare Funds
63|639|Insurance Carriers, Not Elsewhere Classified
64|641|Insurance Agents, Brokers, And Service
65|651|Real Estate Operators (except Developers) And Lessors
65|653|Real Estate Agents And Managers
65|654|Title Abstract Offices
65|655|Land Subdividers And Developers
67|671|Holding Offices
67|672|Investment Offices
67|673|Trusts
67|679|Miscellaneous Investing
70|701|Hotels And Motels
70|702|Rooming And Boarding Houses
70|703|Camps And Recreational Vehicle Parks
70|704|Organization Hotels And Lodging Houses, On
72|721|Laundry, Cleaning, And Garment Services
72|722|Photographic Studios, Portrait
72|723|Beauty Shops
72|724|Barber Shops
72|725|Shoe Repair Shops And Shoeshine Parlors
72|726|Funeral Service And Crematories
72|729|Miscellaneous Personal Services
73|731|Advertising
73|732|Consumer Credit Reporting Agencies, Mercantile
73|733|Mailing, Reproduction, Commercial Art And Photography, and Stenographic Services
73|734|Services To Dwellings And Other Buildings
73|735|Miscellaneous Equipment Rental And Leasing
73|736|Personnel Supply Services
73|737|Computer Programming, Data Processing, And Other Computer Related Services
73|738|Miscellaneous Business Services
75|751|Automotive Rental And Leasing, Without Drivers
75|752|Automobile Parking
75|753|Automotive Repair Shops
75|754|Automotive Services, Except Repair
76|762|Electrical Repair Shops
76|763|Watch, Clock, And Jewelry Repair
76|764|Reupholstery And Furniture Repair
76|769|Miscellaneous Repair Shops And Related Services
78|781|Motion Picture Production And Allied Services
78|782|Motion Picture Distribution And Allied Services
78|783|Motion Picture Theaters
78|784|Video Tape Rental
79|791|Dance Studios, Schools, And Halls
79|792|Theatrical Producers (except Motion Picture),
79|793|Bowling Centers
79|794|Commercial Sports
79|799|Miscellaneous Amusement And Recreation
80|801|Offices And Clinics Of Doctors Of Medicine
80|802|Offices And Clinics Of Dentists
80|803|Offices And Clinics Of Doctors Of Osteopathy
80|804|Offices And Clinics Of Other Health Practitioners
80|805|Nursing And Personal Care Facilities
80|806|Hospitals
80|807|Medical And Dental Laboratories
80|808|Home Health Care Services
80|809|Miscellaneous Health And Allied Services, Not
81|811|Legal Services
82|821|Elementary And Secondary Schools
82|822|Colleges, Universities, Professional Schools, And
